doc_id,artist,title,album,release_year,bin,language,words,source,corrections
0,Loreen,71_Charger,Ride,2017,2015_2017,English,273,https://www.azlyrics.com/lyrics/loreen/71charger.html,n/a
1,Loreen,Alice,Sa_mycket_battre_2020,2020,2019_2024,Swedish,203,https://www.azlyrics.com/lyrics/loreen/alice.html,n/a
2,Loreen,Body,Nude,2017,2015_2017,English,172,https://www.azlyrics.com/lyrics/loreen/body.html,n/a
3,Loreen,Breaking_Robot,Heal,2012,2012_2013,English,260,https://www.azlyrics.com/lyrics/loreen/breakingrobot.html,n/a
4,Loreen,Crying_Out_Your_Name,Heal,2012,2012_2013,English,278,https://www.azlyrics.com/lyrics/loreen/cryingoutyourname.html,n/a
5,Loreen,Do_We_Even_Matter,Heal,2012,2012_2013,English,239,https://www.azlyrics.com/lyrics/loreen/doweevenmatter.html,n/a
6,Loreen,Dreams,Ride,2017,2015_2017,English,93,https://www.azlyrics.com/lyrics/loreen/dreams.html,n/a
7,Loreen,Du_Ar_Min_Man,Sa_mycket_battre_2020,2020,2019_2024,Swedish,238,https://www.azlyrics.com/lyrics/loreen/duarminman.html,n/a
8,Loreen,Euphoria,Heal,2012,2012_2013,English,170,https://www.azlyrics.com/lyrics/loreen/euphoria.html,n/a
9,Loreen,Everytime,Heal,2012,2012_2013,English,298,https://www.azlyrics.com/lyrics/loreen/everytime.html,Incorrect_lyric_mule_changed_to_moon.
10,Loreen,Fiction_Feels_Good,single,2020,2019_2024,English,171,https://www.azlyrics.com/lyrics/loreen/fictionfeelsgood.html,n/a
11,Loreen,Fire_Blue,Ride,2017,2015_2017,English,181,https://www.azlyrics.com/lyrics/loreen/fireblue.html,n/a
12,Loreen,Forever,single,2024,2019_2024,English,253,https://www.azlyrics.com/lyrics/loreen/forever.html,n/a
13,Loreen,Gravity,single,2024,2019_2024,English,170,https://www.azlyrics.com/lyrics/loreen/gravity.html,n/a
14,Loreen,Hate_The_Way_I_Love_You,Ride,2017,2015_2017,English,243,https://www.azlyrics.com/lyrics/loreen/hatethewayiloveyou.html,n/a
15,Loreen,Heal,Heal,2012,2012_2013,English,285,https://www.azlyrics.com/lyrics/loreen/heal.html,n/a
16,Loreen,Heart_On_Hold,Ride,2017,2015_2017,English,263,https://www.azlyrics.com/lyrics/loreen/heartonhold.html,n/a
17,Loreen,I_Go_Ego,Ride,2017,2015_2017,English,218,https://www.azlyrics.com/lyrics/loreen/igoego.html,n/a
18,Loreen,If_She's_The_One,Heal,2012,2012_2013,English,271,https://www.azlyrics.com/lyrics/loreen/ifshestheone.html,n/a
19,Loreen,I'm_In_It_With_You,single,2015,2015_2017,English,238,https://www.azlyrics.com/lyrics/loreen/iminitwithyou.html,n/a
20,Loreen,In_My_Head,Heal,2012,2012_2013,English,279,https://www.azlyrics.com/lyrics/loreen/inmyhead.html,n/a
21,Loreen,Is_It_Love,single,2023,2019_2024,English,252,https://www.azlyrics.com/lyrics/loreen/isitlove.html,n/a
22,Loreen,Jag_Ar_En_Vampyr,Sa_mycket_battre_2020,2020,2019_2024,Swedish,305,https://www.azlyrics.com/lyrics/loreen/jagarenvampyr.html,n/a
23,Loreen,Jungle,Nude,2017,2015_2017,English,349,https://www.azlyrics.com/lyrics/loreen/jungle.html,"added_missing_words:_scene,_red_eyed,_Earth"
24,Loreen,Jupiter_Drive,Ride,2017,2015_2017,English,150,https://www.azlyrics.com/lyrics/loreen/jupiterdrive.html,n/a
25,Loreen,Love_Me_America,Ride,2017,2015_2017,English,112,https://www.azlyrics.com/lyrics/loreen/lovemeamerica.html,n/a
26,Loreen,My_Heart_Is_Refusing_Me,Heal,2012,2012_2013,English,197,https://www.azlyrics.com/lyrics/loreen/myheartisrefusingme.html,n/a
27,Loreen,Neon_Lights,single,2022,2019_2024,English,319,https://www.azlyrics.com/lyrics/loreen/neonlights.html,n/a
28,Loreen,Ocean_Away,Nude,2017,2015_2017,English,265,https://www.azlyrics.com/lyrics/loreen/oceanaway.html,n/a
29,Loreen,Paper_Light,single,2015,2015_2017,English,201,https://www.azlyrics.com/lyrics/loreen/paperlight.html,n/a
30,Loreen,Ride,Ride,2017,2015_2017,English,206,https://www.azlyrics.com/lyrics/loreen/ride.html,n/a
31,Loreen,See_You_Again,Heal,2012,2012_2013,English,266,https://www.azlyrics.com/lyrics/loreen/seeyouagain.html,n/a
32,Loreen,Sidewalk,Heal,2012,2012_2013,English,288,https://www.azlyrics.com/lyrics/loreen/sidewalk.html,n/a
33,Loreen,Sober,Heal,2012,2012_2013,English,315,https://www.azlyrics.com/lyrics/loreen/sober.html,n/a
34,Loreen,Sotvattentarar,single,2021,2019_2024,Swedish,236,https://www.azlyrics.com/lyrics/loreen/sotvattentarar.html,n/a
35,Loreen,Statements,single,2017,2015_2017,English,203,https://www.azlyrics.com/lyrics/loreen/statements.html,n/a
36,Loreen,Tattoo,single,2023,2019_2024,English,284,https://www.azlyrics.com/lyrics/loreen/tattoo.html,n/a
37,Loreen,Under_Ytan,single,2015,2015_2017,Swedish,209,https://www.azlyrics.com/lyrics/loreen/underytan.html,n/a
38,Loreen,Walk_With_Me,single,2019,2019_2024,English,264,https://www.azlyrics.com/lyrics/loreen/walkwithme.html,n/a
39,Loreen,Warning_Signs,single,2024,2019_2024,English,176,https://www.azlyrics.com/lyrics/loreen/warningsigns.html,n/a
40,Loreen,We_Got_the_Power,single,2013,2012_2013,English,228,https://www.azlyrics.com/lyrics/loreen/wegothtepower.html,n/a
